2026-04-24T01:41:09.368513+0530 | INFO | Starting falcon_v1 in paper mode.
2026-04-24T01:41:09.368513+0530 | INFO | Connecting to MT5...
2026-04-24T01:41:09.374397+0530 | ERROR | MT5 initialization failed, error code: (-10003, 'IPC initialize failed, MetaTrader 5 x64 not found')
2026-04-24T01:41:09.374924+0530 | ERROR | Failed to connect to MT5. Exiting.
2026-04-24T01:47:00.297149+0530 | INFO | Starting falcon_v2 in paper mode.
2026-04-24T01:47:00.297796+0530 | INFO | Connecting to MT5...
2026-04-24T01:47:00.300483+0530 | ERROR | MT5 initialization failed, error code: (-10003, 'IPC initialize failed, MetaTrader 5 x64 not found')
2026-04-24T01:47:00.300483+0530 | ERROR | Failed to connect to MT5. Exiting.
2026-04-24T02:10:20.495973+0530 | INFO | Starting falcon_v2 in paper mode.
2026-04-24T02:10:20.495973+0530 | INFO | Connecting to MT5...
2026-04-24T02:11:14.822411+0530 | INFO | Starting falcon_v2 in paper mode.
2026-04-24T02:11:14.824176+0530 | INFO | Connecting to MT5...
2026-04-24T02:11:14.836052+0530 | INFO | MT5 Login successful.
2026-04-24T02:11:14.836052+0530 | INFO | Connected to MT5. Mode: PAPER
2026-04-24T02:11:14.837055+0530 | INFO | Entering main trading loop...
2026-04-24T02:11:20.958211+0530 | INFO | Bot stopped by user.
2026-04-24T02:11:20.961866+0530 | INFO | MT5 connection closed.
2026-04-24T02:12:05.035154+0530 | INFO | Starting falcon_v2 in paper mode.
2026-04-24T02:12:05.036152+0530 | INFO | Connecting to MT5...
2026-04-24T02:12:05.047653+0530 | INFO | MT5 Login successful.
2026-04-24T02:12:05.048651+0530 | INFO | Connected to MT5. Mode: PAPER
2026-04-24T02:12:05.048651+0530 | INFO | Entering main trading loop...
